Station Name,Latitude,Longitude,Date,Mean Temperature,Maximum Temperature,Minimum Temperature,Precipitation,Mean Wind Speed
BERBERA,+10.389,+044.941,20050419,84.7,89.6,75.2,0.00,8.0
BERBERA,+10.389,+044.941,20050424,86.5,101.8,77.0,0.00,7.8
BERBERA,+10.389,+044.941,20050425,88.7,89.6,79.0,0.00,8.0
BERBERA,+10.389,+044.941,20050426,87.5,92.8,86.0,0.00,13.0
BERBERA,+10.389,+044.941,20050427,86.1,88.2,82.4,0.00,7.3
BERBERA,+10.389,+044.941,20050502,91.0,95.0,83.3,0.00,5.4
BERBERA,+10.389,+044.941,20050503,91.9,98.6,77.0,0.00,2.0
BERBERA,+10.389,+044.941,20050504,92.9,100.8,91.4,0.00,9.4
BERBERA,+10.389,+044.941,20050505,89.8,91.4,83.5,0.00,10.8
BERBERA,+10.389,+044.941,20050508,93.0,95.0,83.1,0.00,10.1
BERBERA,+10.389,+044.941,20050509,94.9,100.8,77.9,0.00,8.7
BERBERA,+10.389,+044.941,20050510,91.2,95.0,86.0,0.00,7.2
BERBERA,+10.389,+044.941,20050511,91.2,100.9,82.6,0.00,10.0
BERBERA,+10.389,+044.941,20050514,92.8,95.0,89.6,0.00,4.8
BERBERA,+10.389,+044.941,20050515,92.1,93.2,89.6,0.00,10.4
BERBERA,+10.389,+044.941,20050516,93.4,100.2,89.6,0.00,6.4
BERBERA,+10.389,+044.941,20050517,89.4,95.5,80.6,0.00,4.9
BERBERA,+10.389,+044.941,20050518,93.1,105.4,81.9,0.00,9.2
BERBERA,+10.389,+044.941,20050519,94.1,95.7,91.4,0.00,9.8
BERBERA,+10.389,+044.941,20050522,91.1,93.4,89.6,0.00,11.4
BERBERA,+10.389,+044.941,20050523,96.0,99.1,91.4,0.00,7.3
BERBERA,+10.389,+044.941,20050524,88.2,100.4,75.7,0.00,7.5
BERBERA,+10.389,+044.941,20050525,93.1,102.2,83.7,0.00,7.9
BERBERA,+10.389,+044.941,20050526,91.5,93.7,82.9,0.00,6.6
BERBERA,+10.389,+044.941,20050529,96.8,100.4,85.6,0.00,6.2
BERBERA,+10.389,+044.941,20050530,97.9,103.6,84.4,0.00,8.5
BERBERA,+10.389,+044.941,20050531,102.3,107.6,86.9,0.00,6.7
BERBERA,+10.389,+044.941,20050601,96.8,102.0,87.8,0.00,9.9
BERBERA,+10.389,+044.941,20050605,102.6,111.7,88.2,0.00,16.3
BERBERA,+10.389,+044.941,20050606,98.7,100.4,86.7,0.00,9.2
BERBERA,+10.389,+044.941,20050607,100.3,107.6,96.8,0.00,14.0
BERBERA,+10.389,+044.941,20050608,101.6,120.4,88.9,0.00,13.1
BERBERA,+10.389,+044.941,20050612,103.6,109.4,86.4,0.00,21.0
BERBERA,+10.389,+044.941,20050613,106.2,113.0,96.8,0.00,16.2
BERBERA,+10.389,+044.941,20050614,101.2,107.6,92.1,0.00,17.2
BERBERA,+10.389,+044.941,20050615,104.8,116.8,98.6,0.00,13.0
BERBERA,+10.389,+044.941,20050618,104.9,109.4,100.4,0.00,22.5
BERBERA,+10.389,+044.941,20050619,100.7,109.4,89.4,0.00,27.8
BERBERA,+10.389,+044.941,20050620,101.8,107.6,91.8,0.00,26.0
BERBERA,+10.389,+044.941,20050622,103.3,105.8,96.8,0.00,19.2
BERBERA,+10.389,+044.941,20050624,95.5,100.4,91.4,0.00,25.0
BERBERA,+10.389,+044.941,20050627,106.2,120.4,90.9,0.00,17.0
BERBERA,+10.389,+044.941,20050630,97.7,104.0,91.4,0.00,20.7
BERBERA,+10.389,+044.941,20050704,102.9,111.2,89.6,0.00,18.2
BERBERA,+10.389,+044.941,20050705,103.5,111.4,89.4,0.00,19.3
BERBERA,+10.389,+044.941,20050706,102.1,109.9,88.9,0.00,24.3
BERBERA,+10.389,+044.941,20050712,101.8,109.4,90.3,0.00,24.3
BERBERA,+10.389,+044.941,20050713,98.6,108.5,88.5,0.00,24.3
BERBERA,+10.389,+044.941,20050717,97.6,110.8,93.2,0.00,23.4
BERBERA,+10.389,+044.941,20050718,97.9,108.7,89.6,0.00,13.0
BERBERA,+10.389,+044.941,20050719,101.2,107.6,93.2,0.00,20.3
BERBERA,+10.389,+044.941,20050720,100.0,111.2,93.2,0.00,24.6
BERBERA,+10.389,+044.941,20050725,98.1,105.8,88.7,0.00,30.1
BERBERA,+10.389,+044.941,20050801,95.1,107.6,77.0,0.00,28.6
BERBERA,+10.389,+044.941,20050802,100.9,109.4,89.2,0.00,25.0
BERBERA,+10.389,+044.941,20050803,100.6,111.4,90.5,0.00,20.5
BERBERA,+10.389,+044.941,20050807,98.0,104.9,89.6,0.00,24.0
BERBERA,+10.389,+044.941,20050808,99.3,111.2,89.8,0.00,22.7
BERBERA,+10.389,+044.941,20050809,104.3,114.8,95.0,0.00,19.0
BERBERA,+10.389,+044.941,20050810,100.1,104.0,93.2,0.00,25.5
BERBERA,+10.389,+044.941,20050811,99.5,105.8,89.1,0.00,18.5
BERBERA,+10.389,+044.941,20050814,102.8,116.4,96.8,0.00,22.7
BERBERA,+10.389,+044.941,20050815,103.6,107.6,91.0,0.00,19.1
BERBERA,+10.389,+044.941,20050816,103.2,108.3,90.5,0.00,22.0
BERBERA,+10.389,+044.941,20050817,101.1,110.8,88.3,0.00,16.0
BERBERA,+10.389,+044.941,20050819,100.8,109.4,93.2,0.00,14.8
BERBERA,+10.389,+044.941,20050821,98.1,115.7,91.2,0.00,17.6
BERBERA,+10.389,+044.941,20050822,101.1,104.0,73.8,0.00,19.7
BERBERA,+10.389,+044.941,20050823,98.6,109.6,91.4,0.00,14.9
BERBERA,+10.389,+044.941,20050828,101.0,109.9,95.0,0.00,23.5
BERBERA,+10.389,+044.941,20050829,98.8,105.8,89.6,0.00,16.8
BERBERA,+10.389,+044.941,20050830,100.6,107.1,89.1,0.00,19.7
BERBERA,+10.389,+044.941,20050901,99.0,104.0,95.0,0.00,20.2
BERBERA,+10.389,+044.941,20050905,104.2,112.5,89.2,0.00,13.7
BERBERA,+10.389,+044.941,20050906,99.1,102.2,96.8,0.00,12.9
BERBERA,+10.389,+044.941,20050907,100.5,102.2,89.8,0.00,12.3
BERBERA,+10.389,+044.941,20050911,99.9,111.0,74.1,0.00,22.0
BERBERA,+10.389,+044.941,20050913,104.5,113.5,88.3,0.00,16.1
BERBERA,+10.389,+044.941,20050914,101.3,110.7,96.8,0.00,17.0
BERBERA,+10.389,+044.941,20050915,98.3,104.0,89.6,0.00,22.1
BERBERA,+10.389,+044.941,20050918,101.3,107.6,88.2,0.00,13.3
BERBERA,+10.389,+044.941,20050919,104.8,114.8,85.6,0.00,10.7
BERBERA,+10.389,+044.941,20050920,96.8,108.9,83.8,0.00,8.3
BERBERA,+10.389,+044.941,20050921,103.3,109.4,85.5,0.00,17.5
BERBERA,+10.389,+044.941,20050922,98.6,100.4,95.0,0.00,15.7
BERBERA,+10.389,+044.941,20050924,104.0,113.0,96.8,0.00,16.0
BERBERA,+10.389,+044.941,20050925,97.3,98.6,95.0,0.00,7.8
BERBERA,+10.389,+044.941,20050926,93.8,95.0,89.6,0.00,9.4
BERBERA,+10.389,+044.941,20050927,91.9,95.0,89.6,0.00,10.4
BERBERA,+10.389,+044.941,20051004,95.6,102.6,81.5,0.00,6.8
BERBERA,+10.389,+044.941,20051005,92.4,95.0,80.2,0.00,6.6
BERBERA,+10.389,+044.941,20051010,89.3,93.2,84.2,0.00,9.4
BERBERA,+10.389,+044.941,20051011,87.1,97.7,63.5,0.00,15.2
BERBERA,+10.389,+044.941,20051012,88.0,89.6,76.5,0.00,11.0
BERBERA,+10.389,+044.941,20051013,91.5,93.9,76.3,0.00,8.2
BERBERA,+10.389,+044.941,20051016,88.9,93.7,79.2,0.00,8.4
BERBERA,+10.389,+044.941,20051017,90.7,94.1,79.7,0.00,7.0
BERBERA,+10.389,+044.941,20051018,90.0,98.8,80.6,0.00,10.9
BERBERA,+10.389,+044.941,20051019,86.1,93.6,73.4,0.00,7.2
BERBERA,+10.389,+044.941,20051020,89.1,96.8,76.6,0.00,3.3
BERBERA,+10.389,+044.941,20051023,88.9,93.2,86.0,0.00,7.1
BERBERA,+10.389,+044.941,20051024,86.6,94.5,78.4,0.00,7.1
BERBERA,+10.389,+044.941,20051025,87.4,102.2,75.2,0.00,10.2
BERBERA,+10.389,+044.941,20051026,87.5,102.2,75.2,0.00,6.5
BERBERA,+10.389,+044.941,20051027,90.8,91.4,76.1,0.00,6.4
BERBERA,+10.389,+044.941,20051030,87.1,90.0,74.8,0.00,6.9
BERBERA,+10.389,+044.941,20051031,93.6,100.4,75.0,0.00,4.6
BERBERA,+10.389,+044.941,20051102,86.8,89.6,73.8,0.00,7.3
BERBERA,+10.389,+044.941,20051105,89.2,93.2,84.2,0.00,6.5
BERBERA,+10.389,+044.941,20051106,87.4,96.8,80.6,0.00,9.8
BERBERA,+10.389,+044.941,20051108,87.9,97.7,76.1,0.00,6.6
BERBERA,+10.389,+044.941,20051109,89.5,99.3,71.8,0.00,7.5
BERBERA,+10.389,+044.941,20051110,86.9,95.0,84.2,0.00,7.3
BERBERA,+10.389,+044.941,20051112,83.7,86.0,69.3,0.00,10.6
BERBERA,+10.389,+044.941,20051113,82.1,86.0,70.9,0.00,6.2
BERBERA,+10.389,+044.941,20051114,87.2,88.0,70.5,0.00,5.8
BERBERA,+10.389,+044.941,20051115,86.4,91.4,82.4,0.00,6.2
BERBERA,+10.389,+044.941,20051116,87.6,93.6,74.1,0.00,7.2
BERBERA,+10.389,+044.941,20051117,86.8,92.3,73.8,0.00,6.8
BERBERA,+10.389,+044.941,20051120,85.7,89.6,74.8,0.00,6.7
BERBERA,+10.389,+044.941,20051121,85.3,86.0,72.1,0.00,3.8
BERBERA,+10.389,+044.941,20051122,85.0,86.5,72.5,0.00,8.6
BERBERA,+10.389,+044.941,20051123,83.8,88.7,64.8,0.00,6.0
BERBERA,+10.389,+044.941,20051124,85.9,89.1,70.7,0.00,6.3
BERBERA,+10.389,+044.941,20051125,81.1,86.0,75.2,0.00,5.2
BERBERA,+10.389,+044.941,20051128,84.5,93.2,80.6,0.00,8.5
BERBERA,+10.389,+044.941,20051201,82.1,86.0,68.9,0.00,4.0
BERBERA,+10.389,+044.941,20051204,79.9,86.0,73.4,0.00,6.2
BERBERA,+10.389,+044.941,20051205,82.4,87.1,67.6,0.00,10.7
BERBERA,+10.389,+044.941,20051206,82.0,91.4,68.9,0.00,9.2
BERBERA,+10.389,+044.941,20051207,85.6,88.0,70.9,0.00,5.5
BERBERA,+10.389,+044.941,20051209,84.7,87.8,80.6,0.00,3.0
BERBERA,+10.389,+044.941,20051211,86.2,88.5,69.6,0.00,6.0
BERBERA,+10.389,+044.941,20051212,82.1,86.0,69.4,0.00,7.0
BERBERA,+10.389,+044.941,20051213,79.2,88.7,69.8,0.00,6.0
BERBERA,+10.389,+044.941,20051214,81.7,89.1,70.2,0.00,8.1
BERBERA,+10.389,+044.941,20051215,83.5,87.3,67.5,0.00,5.0
BERBERA,+10.389,+044.941,20051218,83.4,86.5,68.2,0.00,8.0
BERBERA,+10.389,+044.941,20051219,82.9,89.2,67.8,0.00,18.7
BERBERA,+10.389,+044.941,20051220,81.8,87.8,66.0,0.00,4.3
BERBERA,+10.389,+044.941,20051222,84.3,89.6,66.7,0.00,6.6
BERBERA,+10.389,+044.941,20051224,81.5,86.0,73.4,0.00,4.0
BERBERA,+10.389,+044.941,20051226,85.6,91.4,67.3,0.00,7.0
BERBERA,+10.389,+044.941,20051227,80.1,86.0,64.6,0.00,5.0
BERBERA,+10.389,+044.941,20051228,81.1,82.4,68.9,0.00,5.6
BERBERA,+10.389,+044.941,20060101,81.1,84.2,66.7,0.00,4.3
BERBERA,+10.389,+044.941,20060102,79.2,82.4,75.2,0.00,7.0
BERBERA,+10.389,+044.941,20060103,75.6,80.6,63.1,0.00,9.7
BERBERA,+10.389,+044.941,20060104,80.3,86.0,69.8,0.00,7.8
BERBERA,+10.389,+044.941,20060105,78.9,84.2,73.4,0.00,7.6
BERBERA,+10.389,+044.941,20060106,81.0,84.2,77.0,0.00,4.2
BERBERA,+10.389,+044.941,20060108,80.6,84.2,75.2,0.00,6.4
BERBERA,+10.389,+044.941,20060111,77.0,82.4,68.0,0.00,5.5
BERBERA,+10.389,+044.941,20060115,83.1,86.0,77.0,0.00,7.4
BERBERA,+10.389,+044.941,20060116,84.4,86.0,71.2,0.00,13.2
BERBERA,+10.389,+044.941,20060118,83.4,89.1,70.0,0.00,8.8
BERBERA,+10.389,+044.941,20060122,81.9,84.2,77.0,0.00,6.1
BERBERA,+10.389,+044.941,20060123,82.4,84.2,78.8,0.00,2.0
BERBERA,+10.389,+044.941,20060124,79.4,84.2,68.9,0.00,6.2
BERBERA,+10.389,+044.941,20060125,80.4,84.2,75.2,0.00,12.0
BERBERA,+10.389,+044.941,20060126,80.4,91.9,78.8,0.00,12.4
BERBERA,+10.389,+044.941,20060127,77.4,82.4,69.8,0.00,1.8
BERBERA,+10.389,+044.941,20060129,82.8,86.4,68.4,0.00,6.2
BERBERA,+10.389,+044.941,20060130,82.0,84.2,70.5,0.00,6.1
BERBERA,+10.389,+044.941,20060201,80.7,85.1,66.2,0.00,10.0
BERBERA,+10.389,+044.941,20060202,80.6,82.4,74.7,0.00,9.5
BERBERA,+10.389,+044.941,20060204,80.6,86.0,75.2,0.00,7.5
BERBERA,+10.389,+044.941,20060205,83.1,89.6,70.9,0.00,4.6
BERBERA,+10.389,+044.941,20060206,83.0,84.2,82.4,0.00,8.7
BERBERA,+10.389,+044.941,20060207,83.6,87.3,73.6,0.00,7.5
BERBERA,+10.389,+044.941,20060208,81.9,87.3,72.0,0.00,7.8
BERBERA,+10.389,+044.941,20060209,83.3,85.1,73.2,0.00,5.8
BERBERA,+10.389,+044.941,20060210,83.3,84.2,82.4,0.00,5.8
BERBERA,+10.389,+044.941,20060212,80.6,84.4,70.9,0.00,6.4
BERBERA,+10.389,+044.941,20060213,83.4,86.0,71.6,0.00,4.2
BERBERA,+10.389,+044.941,20060214,84.1,86.0,72.9,0.00,5.0
BERBERA,+10.389,+044.941,20060215,83.6,85.6,72.1,0.00,6.4
BERBERA,+10.389,+044.941,20060216,85.0,86.0,70.0,0.00,5.0
BERBERA,+10.389,+044.941,20060219,80.7,86.0,76.8,0.00,13.5
BERBERA,+10.389,+044.941,20060221,83.4,86.0,73.0,0.00,8.4
BERBERA,+10.389,+044.941,20060222,83.4,86.5,73.9,0.00,8.2
BERBERA,+10.389,+044.941,20060223,82.3,86.0,72.9,0.00,8.2
BERBERA,+10.389,+044.941,20060225,84.4,87.3,75.6,0.00,6.0
BERBERA,+10.389,+044.941,20060226,80.9,85.8,73.0,0.00,10.1
BERBERA,+10.389,+044.941,20060228,82.3,88.2,80.2,0.00,14.5
BERBERA,+10.389,+044.941,20060301,83.3,87.6,63.5,0.00,9.3
BERBERA,+10.389,+044.941,20060302,82.4,86.2,67.8,0.00,5.0
BERBERA,+10.389,+044.941,20060303,83.8,87.8,77.0,0.00,5.7
BERBERA,+10.389,+044.941,20060304,78.8,84.2,71.6,0.00,7.8
BERBERA,+10.389,+044.941,20060305,82.8,86.0,67.5,0.00,6.1
BERBERA,+10.389,+044.941,20060306,83.2,93.0,64.4,0.00,8.0
BERBERA,+10.389,+044.941,20060308,84.1,87.8,76.6,0.00,6.7
BERBERA,+10.389,+044.941,20060309,82.3,87.4,78.8,0.00,7.2
BERBERA,+10.389,+044.941,20060404,88.3,93.2,86.0,0.00,8.9
BERBERA,+10.389,+044.941,20060405,87.2,93.0,76.3,0.00,7.7
BERBERA,+10.389,+044.941,20060409,86.8,89.2,78.3,0.00,7.5
BERBERA,+10.389,+044.941,20060410,86.8,90.5,76.6,0.00,11.8
BERBERA,+10.389,+044.941,20060413,90.2,94.1,87.1,0.00,7.7
BERBERA,+10.389,+044.941,20060417,88.2,93.2,78.8,0.00,10.2
BERBERA,+10.389,+044.941,20060418,87.7,90.7,85.5,0.00,8.5
BERBERA,+10.389,+044.941,20060419,87.7,89.2,77.2,0.00,5.6
BERBERA,+10.389,+044.941,20060421,89.6,93.2,86.0,0.00,6.5
BERBERA,+10.389,+044.941,20060422,86.0,87.8,80.6,0.00,4.0
BERBERA,+10.389,+044.941,20060423,88.3,91.4,86.0,0.00,12.4
BERBERA,+10.389,+044.941,20060424,89.3,93.2,79.5,0.00,8.2
BERBERA,+10.389,+044.941,20060425,90.2,96.1,79.7,0.00,10.9
BERBERA,+10.389,+044.941,20060426,88.3,94.3,80.1,0.00,9.7
BERBERA,+10.389,+044.941,20060427,89.6,93.2,79.5,0.00,10.5
BERBERA,+10.389,+044.941,20060429,90.7,93.2,79.9,0.00,8.0
BERBERA,+10.389,+044.941,20060430,93.0,95.0,80.2,0.00,6.7
BERBERA,+10.389,+044.941,20060501,90.9,99.7,77.2,0.00,13.2
BERBERA,+10.389,+044.941,20060504,82.9,93.2,71.6,0.00,12.7
BERBERA,+10.389,+044.941,20060509,96.2,99.3,81.3,0.00,6.2
BERBERA,+10.389,+044.941,20060510,92.8,101.1,84.4,0.00,13.4
BERBERA,+10.389,+044.941,20060512,92.3,95.0,89.6,0.00,6.7
BERBERA,+10.389,+044.941,20060513,90.7,93.2,89.6,0.00,7.7
BERBERA,+10.389,+044.941,20060515,96.2,104.0,81.3,0.00,6.0
BERBERA,+10.389,+044.941,20060517,94.7,97.2,82.8,0.00,5.8
BERBERA,+10.389,+044.941,20060520,95.9,100.4,91.4,0.00,2.2
