Region,Date,Fatalities,Year,Month,Day,Quarter
Banadir,2017.9972602739726,2,2017,12,31,4
Banadir,2018.0,0,2018,1,1,1
Banadir,2018.0,0,2018,1,1,1
Banadir,2018.0,0,2018,1,1,1
Banadir,2018.0,1,2018,1,1,1
Banadir,2018.0027397260274,1,2018,1,2,1
Banadir,2018.0054794520547,0,2018,1,3,1
Banadir,2018.0082191780823,0,2018,1,4,1
Banadir,2018.0109589041097,2,2018,1,5,1
Banadir,2018.0109589041097,0,2018,1,5,1
Banadir,2018.0109589041097,2,2018,1,5,1
Banadir,2018.0164383561644,1,2018,1,7,1
Banadir,2018.0164383561644,1,2018,1,7,1
Banadir,2018.0191780821917,0,2018,1,8,1
Banadir,2018.021917808219,1,2018,1,9,1
Banadir,2018.0246575342467,2,2018,1,10,1
Banadir,2018.0246575342467,1,2018,1,10,1
Banadir,2018.027397260274,1,2018,1,11,1
Banadir,2018.0301369863014,0,2018,1,12,1
Banadir,2018.0301369863014,1,2018,1,12,1
Banadir,2018.0328767123287,0,2018,1,13,1
Banadir,2018.035616438356,1,2018,1,14,1
Banadir,2018.0383561643835,1,2018,1,15,1
Banadir,2018.0383561643835,0,2018,1,15,1
Banadir,2018.041095890411,0,2018,1,16,1
Banadir,2018.041095890411,0,2018,1,16,1
Banadir,2018.041095890411,0,2018,1,16,1
Banadir,2018.041095890411,1,2018,1,16,1
Banadir,2018.0438356164384,1,2018,1,17,1
Banadir,2018.0438356164384,0,2018,1,17,1
Banadir,2018.0465753424658,1,2018,1,18,1
Banadir,2018.0493150684931,1,2018,1,19,1
Banadir,2018.0493150684931,0,2018,1,19,1
Banadir,2018.0520547945205,0,2018,1,20,1
Banadir,2018.054794520548,0,2018,1,21,1
Banadir,2018.054794520548,1,2018,1,21,1
Banadir,2018.054794520548,0,2018,1,21,1
Banadir,2018.054794520548,1,2018,1,21,1
Banadir,2018.0575342465754,2,2018,1,22,1
Banadir,2018.0602739726028,1,2018,1,23,1
Banadir,2018.0602739726028,5,2018,1,23,1
Banadir,2018.0630136986301,0,2018,1,24,1
Banadir,2018.0630136986301,0,2018,1,24,1
Banadir,2018.0630136986301,0,2018,1,24,1
Banadir,2018.0630136986301,0,2018,1,24,1
Banadir,2018.0630136986301,0,2018,1,24,1
Banadir,2018.0657534246575,1,2018,1,25,1
Banadir,2018.0657534246575,1,2018,1,25,1
Banadir,2018.0684931506848,0,2018,1,26,1
Banadir,2018.0684931506848,1,2018,1,26,1
Banadir,2018.0712328767124,0,2018,1,27,1
Banadir,2018.0712328767124,4,2018,1,27,1
Banadir,2018.0767123287671,0,2018,1,29,1
Banadir,2018.0794520547945,0,2018,1,30,1
Banadir,2018.0821917808219,0,2018,1,31,1
Banadir,2018.0849315068492,3,2018,2,1,1
Banadir,2018.0876712328768,3,2018,2,2,1
Banadir,2018.0904109589042,1,2018,2,3,1
Banadir,2018.0931506849315,4,2018,2,4,1
Banadir,2018.0931506849315,1,2018,2,4,1
Banadir,2018.0958904109589,1,2018,2,5,1
Banadir,2018.0986301369862,1,2018,2,6,1
Banadir,2018.0986301369862,0,2018,2,6,1
Banadir,2018.0986301369862,2,2018,2,6,1
Banadir,2018.1013698630136,1,2018,2,7,1
Banadir,2018.1013698630136,0,2018,2,7,1
Banadir,2018.1013698630136,1,2018,2,7,1
